CourseNo,CourseNameAra,CourseNameEng,CourseCode,CourseCH,TheoreticalCH,PracticalCH,CourseDescAra,CourseDescEng,CourseObjAra,CourseObjEng,WCourseDescAra,WCourseDescEng,WCourseObjAra,WCourseObjEng,DepartmentNo
"873","ريادة الأعمال II","ENTREPRENEURSHIP II","BUS02245","2","1","1","","","","","","","","","3"
"874","مواضيع مختارة","SELECTED TOPICS","CMP42203","2","0","2","","","","","","","","","1"
"875","الحوسبة النقالة","MOBILE COMPUTING","EEE43590","3","2","1","","","","","","","","","2"
"876","الأنظمة والسلامة","INDUSTRIAL ORGANIZATION AND SAFETY","EEE11112","1","1","0","","","","","","","","","2"
"877","رياضيات عامة - استدراكي","MATHEMATICS","ACD03110","3","3","0","","","","","","","","","6"
"878","فيزياء عامة - استدراكي","GENERAL PHYSICS","ACD03109","3","3","0","","","","","","","","","6"
"879","الآلات الكهربائية","ELECTRICAL MACHINES","EEE82102","2","2","0","","","","","","","","","2"
"880","المواصفات والمقاييس الكهربائية","ELECTRICAL STANDARDS AND SPECIFICATIONS","EEE11213","1","1","0","","","","","","","","","2"
"881","مبادئ الكهرباء والإلكترونيات","PRINCIPLES OF ELECTRICITY & ELECTRONICS","EEE13101","3","2","1","","","","","","","","","2"
"882","مخلفات صلبة*","SOLID WASTES","REM00004","2","2","0","","","","","","","","","6"
"883","صحة المياه*","WATER HEALTH","REM00005","2","2","0","","","","","","","","","6"
"884","استراتيجيات العمل الحر","FREELANCING MANAGEMENT SYSTEMS","CMP53016","3","1","2","","","","","","","","","1"
