PlanNo,ProgramNo,RuleNo,PlanCode,PlanNameAra,PlanNameAraAlias,PlanNameEng,CollegeCH,ProgramCH,PlanCH,CHPrice,CurID,AccDate
"63","2","1","700","التركيبات الكهربائية 2017-2018","التركيبات الكهربائية","ELECTRICAL INSTALLATIONS ","18","19","37","10","97003","2013-07-20"
"64","4","1","516","المحاسبة والتأمين 2017-2018","المحاسبة والتأمين","ACCOUNTING AND INSURANCE","18","16","39","10","97003","2007-08-01"
"65","7","1","713","إدارة الإيواء 2017-2018","إدارة الإيواء","ACCOMMODATION MANAGEMENT ","18","16","34","10","97003","1998-01-01"
"66","7","1","714","إدارة الطعام والشراب 2017-2018","إدارة الطعام والشراب ","FOOD & BEVERAGE MANAGEMENT","18","16","35","10","97003","1998-01-01"
"67","1","1","612","البرمجيات وقواعد البيانات 2017-2018","البرمجيات وقواعد البيانات","SOFTWARE AND DATABASE MANAGEMENT","18","10","45","10","97003","1999-01-01"
"68","4","1","514","الإدارة وأتمتة المكاتب 2017-2018","الإدارة وأتمتة المكاتب ","OFFICE MANAGEMENT AUTOMATION","18","12","42","10","97003","1997-01-01"
"69","5","1","813","الإعلام الرقمي 2017-2018","الإعلام الرقمي","DIGITAL MEDIA","15","18","40","10","97003","2015-07-23"
"70","2","1","307","التحكم الصناعي 2018-2019","التحكم الصناعي","INDUSTRIAL CONTROL","15","18","37","10","97003","2007-01-01"
"71","2","1","306","الاتصالات السلكية واللاسلكية 2018-2019","الاتصالات السلكية واللاسلكية","WIRE AND WIRELESS COMMUNICATIONS","15","18","38","10","97003","1998-01-01"
"72","1","1","900","الوسائط المتعددة والرسوم المتحركة 2018-2019","الوسائط المتعددة والرسوم المتحركة","MULTIMEDIA  & CARTOONS PRODUCTION","15","7","55","10","97003","2013-07-20"
"73","2","1","700","التركيبات الكهربائية 2018-2019","التركيبات الكهربائية","ELECTRICAL INSTALLATIONS ","18","19","34","10","97003","2013-07-20"
"74","2","1","800","مساعد مهندس تبريد وتكييف 2018-2019","مساعد مهندس تبريد وتكييف","HVAC( HEATING VENTILATION & AIR CONDITIONING ) ","18","18","35","10","97003","2013-07-20"
"75","6","2","108","علوم التغذية والصحة العامة 2019-2020","علوم التغذية والصحة العامة","NUTRITIONAL SCIENCES AND PUBLIC HEALTH","27","24","83","15","97003","2015-07-21"
"76","1","2","109","تكنولوجيا الويب وأمن المعلومات","تكنولوجيا الويب وأمن المعلومات","WEB TECHNOLOGY & INFORMATION SECURITY","27","19","84","15","97003","2020-04-30"
"77","4","1","518","تقنيات التسويق الرقمي ","تقنيات التسويق الرقمي ","DIGITAL MARKETING TECHNIQUES","18","19","35","10","97003","2019-03-21"
"78","2","1","700","التركيبات الكهربائية 2019-2020","التركيبات الكهربائية ","ELECTRICAL INSTALLATIONS ","17","19","37","10","97003","2013-07-20"
